Full Name,Phone Number,Email,Source
John Doe,123-456-7890,john.doe@example.com,Website Form
Jane Smith,987-654-3210,jane.smith@example.com,Zillow
Bob Johnson,555-123-4567,bob.johnson@example.com,Referral
Maria Garcia,333-222-1111,maria.garcia@example.com,Open House
James Wilson,444-555-6666,james.wilson@example.com,Facebook Ad
Susan Brown,777-888-9999,susan.brown@example.com,Email Campaign
Peter Zhang,111-222-3333,peter.zhang@example.com,Instagram
Mary Johnson,999-888-7777,mary.johnson@example.com,Website Form
Robert Smith,555-444-3333,robert.smith@example.com,Zillow
Sarah Lee,222-333-4444,sarah.lee@example.com,Referral 
